id,source_file,plain_text,choice_count,category
0x0006,oot.o2r::text/nes_message_data_static,"Bombs   20 Pieces   80 Rupees

[CHOICE:2]Buy
Don't buy",2,NPC_DIALOGUE
0x0018,oot.o2r::text/nes_message_data_static,"Welcome to our cutting-edge 
amusement center:
--- PAGE ---
The Bombchu Bowling Alley!
--- PAGE ---
Do you want to know what you 
can win? Well, it's a secret.
I can't tell you until you've
paid to play.
--- PAGE ---
It's 30 Rupees per game.
Do you want to play?
[CHOICE:2]Yes
No",2,NPC_DIALOGUE
0x001A,oot.o2r::text/nes_message_data_static,"Do you want to play again?

[CHOICE:2]Yes
No",2,NPC_DIALOGUE
0x001E,oot.o2r::text/nes_message_data_static,"Bombs   30 Pieces   120 Rupees

[CHOICE:2]Buy
Don't buy",2,NPC_DIALOGUE
0x002A,oot.o2r::text/nes_message_data_static,"Bombchu   20 Pieces   180 Rupees

[CHOICE:2]Buy
Don't buy",2,NPC_DIALOGUE
0x002B,oot.o2r::text/nes_message_data_static,"Do you want to play a game?
It's 20 Rupees per play.
[CHOICE:2]Yes
Nope",2,NPC_DIALOGUE
0x003B,oot.o2r::text/nes_message_data_static,"You cast Farore's Wind!
[CHOICE:3]Return to the Warp Point
Dispel the Warp Point
Exit",3,NPC_DIALOGUE
0x005D,oot.o2r::text/nes_message_data_static,"You put a Blue Fire
into the bottle!
This is a cool flame you can
use with [R], [L] or [Z].",3,NPC_DIALOGUE
0x0062,oot.o2r::text/nes_message_data_static,"Red Potion   40 Rupees

[CHOICE:2]Buy
Don't buy",2,NPC_DIALOGUE
0x0063,oot.o2r::text/nes_message_data_static,"Red Potion   50 Rupees

[CHOICE:2]Buy
Don't buy",2,NPC_DIALOGUE
0x006A,oot.o2r::text/nes_message_data_static,"Welcome! May I help you?

[CHOICE:2]I want to shop
Just looking",2,NPC_DIALOGUE
0x006B,oot.o2r::text/nes_message_data_static,"Would you like to buy something
else?
[CHOICE:2]Yes
No",2,NPC_DIALOGUE
0x006D,oot.o2r::text/nes_message_data_static,"Open the chest and...Surprise!
If you find a Key inside, you'll 
be able to advance. Left or
right--try your luck!
--- PAGE ---
10 Rupees to play. Do you want 
to try it?
[CHOICE:2]Yes
No",2,NPC_DIALOGUE
0x007C,oot.o2r::text/nes_message_data_static,"Bombs  10 pieces  50 Rupees

[CHOICE:2]Buy
Don't buy",2,NPC_DIALOGUE
0x007D,oot.o2r::text/nes_message_data_static,"Arrows  50 pieces  90 Rupees

[CHOICE:2]Buy
Don't buy",2,NPC_DIALOGUE
0x007E,oot.o2r::text/nes_message_data_static,"Fish   200 Rupees

[CHOICE:2]Buy
Don't buy",2,NPC_DIALOGUE
0x007F,oot.o2r::text/nes_message_data_static,"Deku Nuts   5 Pieces   15 Rupees

[CHOICE:2]Buy
Don't buy",2,NPC_DIALOGUE
0x0083,oot.o2r::text/nes_message_data_static,"Shop around by moving the 
[D-Pad] left or right.
[CHOICE:2]Talk to the owner
Quit",2,NPC_DIALOGUE
0x0087,oot.o2r::text/nes_message_data_static,"Deku Nuts   10 pieces  30 Rupees

[CHOICE:2]Buy
Don't buy",2,NPC_DIALOGUE
0x0088,oot.o2r::text/nes_message_data_static,"Deku Stick  1 piece   10 Rupees

[CHOICE:2]Buy
Don't buy",2,NPC_DIALOGUE
0x0089,oot.o2r::text/nes_message_data_static,"Deku Shield   40 Rupees

[CHOICE:2]Buy
Don't buy",2,NPC_DIALOGUE
0x008A,oot.o2r::text/nes_message_data_static,"Arrow   10 pieces   20 Rupees

[CHOICE:2]Buy
Don't buy",2,NPC_DIALOGUE
0x008B,oot.o2r::text/nes_message_data_static,"Bomb   5 pieces   25 Rupees

[CHOICE:2]Buy
Don't buy",2,NPC_DIALOGUE
0x008C,oot.o2r::text/nes_message_data_static,"Bombchu  10 pieces   100 Rupees

[CHOICE:2]Buy
Don't buy",2,NPC_DIALOGUE
0x008E,oot.o2r::text/nes_message_data_static,"Red Potion   30 Rupees

[CHOICE:2]Buy
Don't buy",2,NPC_DIALOGUE
0x008F,oot.o2r::text/nes_message_data_static,"Green Potion   30 Rupees

[CHOICE:2]Buy
Don't buy",2,NPC_DIALOGUE
0x0092,oot.o2r::text/nes_message_data_static,"Hylian Shield   80 Rupees

[CHOICE:2]Buy
Don't buy",2,NPC_DIALOGUE
0x0093,oot.o2r::text/nes_message_data_static,"Goron Tunic   200 Rupees

[CHOICE:2]Buy
Don't buy",2,NPC_DIALOGUE
0x0094,oot.o2r::text/nes_message_data_static,"Zora Tunic   300 Rupees

[CHOICE:2]Buy
Don't buy",2,NPC_DIALOGUE
0x0095,oot.o2r::text/nes_message_data_static,"Recovery Heart   10 Rupees

[CHOICE:2]Buy
Don't buy",2,NPC_DIALOGUE
0x0099,oot.o2r::text/nes_message_data_static,"You got an Empty Bottle!
Put something inside and 
press [C] to use it... What?
Something's already inside!?",2,NPC_DIALOGUE
0x009B,oot.o2r::text/nes_message_data_static,"Arrows   30 pieces   60 Rupees

[CHOICE:2]Buy
Don't buy",2,NPC_DIALOGUE
0x00B6,oot.o2r::text/nes_message_data_static,"Fairy's Spirit    50 Rupees

[CHOICE:2]Buy
Don't buy",2,NPC_DIALOGUE
0x00B8,oot.o2r::text/nes_message_data_static,"Blue Fire    300 Rupees

[CHOICE:2]Buy
Don't buy",2,NPC_DIALOGUE
0x00BA,oot.o2r::text/nes_message_data_static,"Bottle Bug   50 Rupees

[CHOICE:2]Buy
Don't buy",2,NPC_DIALOGUE
0x00CA,oot.o2r::text/nes_message_data_static,"Bombs   5 pieces   35 Rupees

[CHOICE:2]Buy
Don't buy",2,NPC_DIALOGUE
0x00DE,oot.o2r::text/nes_message_data_static,"Deku Seeds 30 pieces 30 Rupees

[CHOICE:2]Buy
Don't buy",2,NPC_DIALOGUE
0x00E0,oot.o2r::text/nes_message_data_static,"You want to talk to Saria, right?

[CHOICE:2]Talk to Saria
No",2,NPC_DIALOGUE
0x00E1,oot.o2r::text/nes_message_data_static,"Really? Then do you want to talk 
to me?
[CHOICE:2]Yes
No",2,NPC_DIALOGUE
0x00E3,oot.o2r::text/nes_message_data_static,"Do you want to talk to Saria
again?
[CHOICE:2]Yes
No",2,NPC_DIALOGUE
0x088D,oot.o2r::text/nes_message_data_static,"Warp to the Lost Woods?

[CHOICE:2]OK
No",2,SYSTEM
0x088E,oot.o2r::text/nes_message_data_static,"Warp to the Death Mountain 
Crater?
[CHOICE:2]OK
No",2,SYSTEM
0x088F,oot.o2r::text/nes_message_data_static,"Warp to Lake Hylia?

[CHOICE:2]OK
No",2,SYSTEM
0x0890,oot.o2r::text/nes_message_data_static,"Warp to the Desert Colossus?

[CHOICE:2]OK
No",2,SYSTEM
0x0891,oot.o2r::text/nes_message_data_static,"Warp to the graveyard?

[CHOICE:2]OK
No",2,SYSTEM
0x0892,oot.o2r::text/nes_message_data_static,"Warp to the Temple of Time?

[CHOICE:2]OK
No",2,SYSTEM
0x1016,oot.o2r::text/nes_message_data_static,"I have been cursed...
I need you to break the curse
with your wisdom and courage.
--- PAGE ---
Dost thou have courage enough
to undertake this task?
[CHOICE:2]Yes
No",2,NPC_DIALOGUE
0x101C,oot.o2r::text/nes_message_data_static,"Quite an unusual mask you have
there. Hee hee! I like it! It may
make me look a little bit tougher.
--- PAGE ---
Hey, why don't you give it to me?

[CHOICE:2]OK
No way",2,NPC_DIALOGUE
0x102E,oot.o2r::text/nes_message_data_static,"Do you want to play some more?

[CHOICE:2]Yes
No",2,NPC_DIALOGUE
0x1035,oot.o2r::text/nes_message_data_static,"I can teach you about the icons
at the top of the screen.
[CHOICE:2]About the yellow icons
About the blue icon",2,NPC_DIALOGUE
0x1038,oot.o2r::text/nes_message_data_static,"If you want to learn about the
map and items, just ask me.
But don't ask unless you want
to hear a long explanation.
--- PAGE ---
What do you want to know about?
[CHOICE:3]About the map 
About items
Don't ask",3,NPC_DIALOGUE
0x103E,oot.o2r::text/nes_message_data_static,"Do you want to know how to use
the [C-Right] Button?
[CHOICE:2]Yes
No",2,NPC_DIALOGUE
0x1092,oot.o2r::text/nes_message_data_static,"Now, I have yet more to tell ye,
wouldst thou listen...
[CHOICE:2]Yes
No",2,NPC_DIALOGUE
0x10A3,oot.o2r::text/nes_message_data_static,"Let's make a deal!

[CHOICE:2]OK
No way",2,NPC_DIALOGUE
0x10A9,oot.o2r::text/nes_message_data_static,"Would you like to play the 
Ocarina with me?
[CHOICE:2]Yes
Don't do it",2,NPC_DIALOGUE
