resource_id,resource_path,filename,source_file,resource_type,scene_or_object,likely_usage,notes
gChristmasGreenTreasureChestFrontTex.rgb5a1.png,__PNG__/custom/objects/object_box/gChristmasGreenTreasureChestFrontTex.rgb5a1.png,gChristmasGreenTreasureChestFrontTex.rgb5a1.png,custom/objects/object_box/gChristmasGreenTreasureChestFrontTex.rgb5a1.png,PNG_FILE,,custom texture file (actual file on disk),
gChristmasGreenTreasureChestSideAndTopTex.rgb5a1.png,__PNG__/custom/objects/object_box/gChristmasGreenTreasureChestSideAndTopTex.rgb5a1.png,gChristmasGreenTreasureChestSideAndTopTex.rgb5a1.png,custom/objects/object_box/gChristmasGreenTreasureChestSideAndTopTex.rgb5a1.png,PNG_FILE,,custom texture file (actual file on disk),
gChristmasRedTreasureChestFrontTex.rgb5a1.png,__PNG__/custom/objects/object_box/gChristmasRedTreasureChestFrontTex.rgb5a1.png,gChristmasRedTreasureChestFrontTex.rgb5a1.png,custom/objects/object_box/gChristmasRedTreasureChestFrontTex.rgb5a1.png,PNG_FILE,,custom texture file (actual file on disk),
gChristmasRedTreasureChestSideAndTopTex.rgb5a1.png,__PNG__/custom/objects/object_box/gChristmasRedTreasureChestSideAndTopTex.rgb5a1.png,gChristmasRedTreasureChestSideAndTopTex.rgb5a1.png,custom/objects/object_box/gChristmasRedTreasureChestSideAndTopTex.rgb5a1.png,PNG_FILE,,custom texture file (actual file on disk),
gGoldTreasureChestFrontTex.rgb5a1.png,__PNG__/custom/objects/object_box/gGoldTreasureChestFrontTex.rgb5a1.png,gGoldTreasureChestFrontTex.rgb5a1.png,custom/objects/object_box/gGoldTreasureChestFrontTex.rgb5a1.png,PNG_FILE,,custom texture file (actual file on disk),
gGoldTreasureChestSideAndTopTex.rgb5a1.png,__PNG__/custom/objects/object_box/gGoldTreasureChestSideAndTopTex.rgb5a1.png,gGoldTreasureChestSideAndTopTex.rgb5a1.png,custom/objects/object_box/gGoldTreasureChestSideAndTopTex.rgb5a1.png,PNG_FILE,,custom texture file (actual file on disk),
gKeyTreasureChestFrontTex.rgb5a1.png,__PNG__/custom/objects/object_box/gKeyTreasureChestFrontTex.rgb5a1.png,gKeyTreasureChestFrontTex.rgb5a1.png,custom/objects/object_box/gKeyTreasureChestFrontTex.rgb5a1.png,PNG_FILE,,custom texture file (actual file on disk),
gKeyTreasureChestSideAndTopTex.rgb5a1.png,__PNG__/custom/objects/object_box/gKeyTreasureChestSideAndTopTex.rgb5a1.png,gKeyTreasureChestSideAndTopTex.rgb5a1.png,custom/objects/object_box/gKeyTreasureChestSideAndTopTex.rgb5a1.png,PNG_FILE,,custom texture file (actual file on disk),
gSkullTreasureChestFrontTex.rgb5a1.png,__PNG__/custom/objects/object_box/gSkullTreasureChestFrontTex.rgb5a1.png,gSkullTreasureChestFrontTex.rgb5a1.png,custom/objects/object_box/gSkullTreasureChestFrontTex.rgb5a1.png,PNG_FILE,,custom texture file (actual file on disk),
gSkullTreasureChestSideAndTopTex.rgb5a1.png,__PNG__/custom/objects/object_box/gSkullTreasureChestSideAndTopTex.rgb5a1.png,gSkullTreasureChestSideAndTopTex.rgb5a1.png,custom/objects/object_box/gSkullTreasureChestSideAndTopTex.rgb5a1.png,PNG_FILE,,custom texture file (actual file on disk),
gTitleBossRushSubtitleTex.rgba32.png,__PNG__/custom/objects/object_mag/gTitleBossRushSubtitleTex.rgba32.png,gTitleBossRushSubtitleTex.rgba32.png,custom/objects/object_mag/gTitleBossRushSubtitleTex.rgba32.png,PNG_FILE,,custom texture file (actual file on disk),
gTitleRandomizerSubtitleTex.rgba32.png,__PNG__/custom/objects/object_mag/gTitleRandomizerSubtitleTex.rgba32.png,gTitleRandomizerSubtitleTex.rgba32.png,custom/objects/object_mag/gTitleRandomizerSubtitleTex.rgba32.png,PNG_FILE,,custom texture file (actual file on disk),
ABtn.png,__PNG__/custom/textures/buttons/ABtn.png,ABtn.png,custom/textures/buttons/ABtn.png,PNG_FILE,,custom texture file (actual file on disk),
ABtnOutline.png,__PNG__/custom/textures/buttons/ABtnOutline.png,ABtnOutline.png,custom/textures/buttons/ABtnOutline.png,PNG_FILE,,custom texture file (actual file on disk),
