scope,relative_path,sha256,status
baseline_snapshot,soh.exe,cd584df1e3a57bb07f8e2d2ab690c1cac62ce3307204e6d8f7322b1fd9d3f168,PASS
runtime_working,soh.exe,cd584df1e3a57bb07f8e2d2ab690c1cac62ce3307204e6d8f7322b1fd9d3f168,PASS
baseline_snapshot,soh.o2r,e56cf1de4f051df28558be1291b449e00522f8f526a755eeeed276b2c359ab05,PASS
runtime_working,soh.o2r,e56cf1de4f051df28558be1291b449e00522f8f526a755eeeed276b2c359ab05,PASS
baseline_snapshot,oot.o2r,6fc0211fd1ea450fc41aa0991c0abfd73ff61b81db39039033edfdb2653d9e4b,PASS
runtime_working,oot.o2r,6fc0211fd1ea450fc41aa0991c0abfd73ff61b81db39039033edfdb2653d9e4b,PASS
baseline_snapshot,rom.n64,b73fed80827d148647e35474a829bdebb74d6f9636a52e04214ce2bb407ab581,PASS
runtime_working,rom.n64,b73fed80827d148647e35474a829bdebb74d6f9636a52e04214ce2bb407ab581,PASS
baseline_snapshot,shipofharkinian.json,585671b2215477e9ad76e82d53486d90ce502a4824ab95e1f2a6e4331b27eb26,PASS
runtime_working,shipofharkinian.json,585671b2215477e9ad76e82d53486d90ce502a4824ab95e1f2a6e4331b27eb26,PASS
baseline_snapshot,Save/file1.sav,2ea27c4afe83211098d13738053cae64009883ce57abf770602ba20f438ac2a5,PASS
runtime_working,Save/file1.sav,2ea27c4afe83211098d13738053cae64009883ce57abf770602ba20f438ac2a5,PASS
baseline_snapshot,Save/file2.sav,7263453e0d6a5e597461b7c2f229ccd76c1dfd3749931b5903000de993fca046,PASS
runtime_working,Save/file2.sav,7263453e0d6a5e597461b7c2f229ccd76c1dfd3749931b5903000de993fca046,PASS
baseline_snapshot,Save/global.sav,0507387c98b78147330533d865a1900d36e13956e8c952cafd15f61f1a9f179e,PASS
runtime_working,Save/global.sav,0507387c98b78147330533d865a1900d36e13956e8c952cafd15f61f1a9f179e,PASS
