timestamp,backend,device_index,instance_id,event_type,control,raw_index,value,previous_value
2026-09-15T23:49:39,SDL_RAW_JOYSTICK,0,0,POLL_AXIS_CHANGE,RAW_AXIS,4,-32768,0
2026-09-15T23:49:39,SDL_RAW_JOYSTICK,0,0,POLL_AXIS_CHANGE,RAW_AXIS,5,-32768,0
2026-09-15T23:54:54,SDL_RAW_JOYSTICK,0,0,POLL_AXIS_CHANGE,RAW_AXIS,4,-32768,0
2026-09-15T23:54:54,SDL_RAW_JOYSTICK,0,0,POLL_AXIS_CHANGE,RAW_AXIS,5,-32768,0
2026-09-15T23:55:04,XINPUT,0,0,BUTTON_CHANGE,W_BUTTONS,0,4096,0
2026-09-15T23:55:04,XINPUT,0,0,BUTTON_CHANGE,W_BUTTONS,0,4096,0
2026-09-15T23:55:05,XINPUT,0,0,BUTTON_CHANGE,W_BUTTONS,0,0,4096
2026-09-15T23:55:05,XINPUT,0,0,BUTTON_CHANGE,W_BUTTONS,0,0,4096
2026-09-15T23:55:06,XINPUT,0,0,BUTTON_CHANGE,W_BUTTONS,0,4096,0
2026-09-15T23:55:06,XINPUT,0,0,BUTTON_CHANGE,W_BUTTONS,0,4096,0
2026-09-15T23:55:07,XINPUT,0,0,BUTTON_CHANGE,W_BUTTONS,0,0,4096
2026-09-15T23:55:07,XINPUT,0,0,BUTTON_CHANGE,W_BUTTONS,0,0,4096
2026-09-15T23:55:07,XINPUT,0,0,BUTTON_CHANGE,W_BUTTONS,0,4096,0
2026-09-15T23:55:07,XINPUT,0,0,BUTTON_CHANGE,W_BUTTONS,0,4096,0
2026-09-15T23:55:07,XINPUT,0,0,BUTTON_CHANGE,W_BUTTONS,0,0,4096
2026-09-15T23:55:07,XINPUT,0,0,BUTTON_CHANGE,W_BUTTONS,0,0,4096
2026-09-15T23:55:08,XINPUT,0,0,BUTTON_CHANGE,W_BUTTONS,0,16384,0
2026-09-15T23:55:08,XINPUT,0,0,BUTTON_CHANGE,W_BUTTONS,0,16384,0
2026-09-15T23:55:08,XINPUT,0,0,BUTTON_CHANGE,W_BUTTONS,0,0,16384
