artifact,sha256,domain
MASTER_LOCALIZATION_ES_419.jsonl,46c015cd4e9d5be39b3ebefeab95eddab19c6dcabe5a6ef54f225520b3dccdf0,MASTER
SPANISH_FONT_SLOT_MAP.csv,47053165419c009d3e09ab812ce8d0f7db3af400f675e2ce0a479215ce821cc0,FONT
SPANISH_CHARACTER_SET_L03A.txt,8b76dc681d6239737d40bc19546e9e7102b1f523ed3163caa115d27991efdd99,FONT
main_game/normalized_corpus.jsonl,a57988fa9f3b60c357fc6804bb3e1e46cd5e250d855bbf895a36ba9770d64937,MAIN_GAME
main_game/encoded_messages.jsonl,e43ef02de2b60eccaf8238110767f69987d347db44e96242203030039e0a7ffa,MAIN_GAME
main_game/manifest.json,124641ba34fb99bf79c7e209b157b00b7db6910c2db2216814b30d8c32a08315,MAIN_GAME
randomizer/normalized_corpus.jsonl,6ec7e1f08cfe91c53d63df1baec46215c56b82ef8cf4776c5213da0a98f715cc,RANDOMIZER
randomizer/encoded_messages.jsonl,7c242ee34567559ab4e6654df8164f50e2d6e0fef1ca718c4def0ce33f02d93d,RANDOMIZER
randomizer/manifest.json,9afbf032af042232e30e2874500d1e89e0fdbcc703dfec34f21aa470d5c4fbfd,RANDOMIZER
soh_ui/normalized_corpus.jsonl,703978269f23553a129af4766d2b07b100ccb3c5fb1e2f76c5b5ebaee274a49b,SOH_UI
soh_ui/soh_ui_catalog_es_419.json,2bfb8c4a795a108e327951863227763532008c787695a184b3c514a21db54fd6,SOH_UI
soh_ui/manifest.json,30cd710e9bbd76cba44d5898c0d9391ef7f4fc7ae2aa05ef2c494ad2bf850006,SOH_UI
